"","ResponseID","condition","dis","accuracy"
"178","M39","Sans Forgetica","fluent",0.5
"179","M4","Sans Forgetica","disfluent",0.666666666666667
"180","M4","Sans Forgetica","fluent",0.6
"181","M40","Sans Forgetica","disfluent",0.166666666666667
"182","M40","Sans Forgetica","fluent",0.5
"183","M41","Sans Forgetica","disfluent",0.166666666666667
"184","M41","Sans Forgetica","fluent",0.2
"185","M42","Sans Forgetica","disfluent",0.583333333333333
"186","M42","Sans Forgetica","fluent",0.7
"187","M43","Sans Forgetica","disfluent",0
"188","M43","Sans Forgetica","fluent",0.3
"189","M44","Sans Forgetica","disfluent",0
"190","M44","Sans Forgetica","fluent",0.1
"191","M45","Sans Forgetica","disfluent",0.25
"192","M45","Sans Forgetica","fluent",0.4
"193","M46","Sans Forgetica","disfluent",0.666666666666667
"194","M46","Sans Forgetica","fluent",0.7
"195","M47","Sans Forgetica","disfluent",0.5
"196","M47","Sans Forgetica","fluent",0.7
"197","M48","Sans Forgetica","disfluent",0.333333333333333
"198","M48","Sans Forgetica","fluent",0.4
"199","M49","Sans Forgetica","disfluent",0.166666666666667
"200","M49","Sans Forgetica","fluent",0.4
"201","M5","Sans Forgetica","disfluent",0.666666666666667
"202","M5","Sans Forgetica","fluent",0.5
"203","M50","Sans Forgetica","disfluent",0.75
"204","M50","Sans Forgetica","fluent",0.9
"205","M51","Sans Forgetica","disfluent",0.583333333333333
"206","M51","Sans Forgetica","fluent",0.9
"207","M52","Sans Forgetica","disfluent",0.166666666666667
"208","M52","Sans Forgetica","fluent",0
"209","M53","Sans Forgetica","disfluent",0.833333333333333
"210","M53","Sans Forgetica","fluent",0.7
"211","M54","Sans Forgetica","disfluent",0.333333333333333
"212","M54","Sans Forgetica","fluent",0.7
"213","M55","Sans Forgetica","disfluent",0.166666666666667
"214","M55","Sans Forgetica","fluent",0
"215","M56","Sans Forgetica","disfluent",0
"216","M56","Sans Forgetica","fluent",0
"217","M57","Sans Forgetica","disfluent",0.75
"218","M57","Sans Forgetica","fluent",0.8
"219","M58","Sans Forgetica","disfluent",0.25
"220","M58","Sans Forgetica","fluent",0.4
"221","M59","Sans Forgetica","disfluent",0.166666666666667
"222","M59","Sans Forgetica","fluent",0
"223","M6","Sans Forgetica","disfluent",0.166666666666667
"224","M6","Sans Forgetica","fluent",0.4
"225","M60","Sans Forgetica","disfluent",0.75
"226","M60","Sans Forgetica","fluent",0.8
"227","M7","Sans Forgetica","disfluent",0.75
"228","M7","Sans Forgetica","fluent",0.7
"229","M8","Sans Forgetica","disfluent",0.416666666666667
"230","M8","Sans Forgetica","fluent",0.7
"231","M9","Sans Forgetica","disfluent",0
"232","M9","Sans Forgetica","fluent",0
"233","T10","Generate","disfluent",0
"234","T10","Generate","fluent",0.2
"235","T11","Generate","disfluent",0.0833333333333333
"236","T11","Generate","fluent",0.1
"237","T13","Generate","disfluent",0.583333333333333
"238","T13","Generate","fluent",0.7
"239","T15","Generate","disfluent",0.583333333333333
"240","T15","Generate","fluent",0.3
"241","T16","Generate","disfluent",0.25
"242","T16","Generate","fluent",0.3
"243","T17","Generate","disfluent",0
"244","T17","Generate","fluent",0
"245","T18","Generate","disfluent",0.333333333333333
"246","T18","Generate","fluent",0
"247","T19","Generate","disfluent",0.0833333333333333
"248","T19","Generate","fluent",0.2
"249","T2","Generate","disfluent",0.75
"250","T2","Generate","fluent",0.8
"251","T20","Generate","disfluent",0.166666666666667
"252","T20","Generate","fluent",0.1
"253","T21","Generate","disfluent",0.583333333333333
"254","T21","Generate","fluent",0.6
"255","T22","Generate","disfluent",0.416666666666667
"256","T22","Generate","fluent",0.2
"257","T23","Generate","disfluent",0
"258","T23","Generate","fluent",0
"259","T24","Generate","disfluent",0
"260","T24","Generate","fluent",0.1
"261","T25","Generate","disfluent",0.5
"262","T25","Generate","fluent",0.4
"263","T27","Generate","disfluent",0.666666666666667
"264","T27","Generate","fluent",0.2
"265","T28","Generate","disfluent",0.416666666666667
"266","T28","Generate","fluent",0.4
"267","T29","Generate","disfluent",0.333333333333333
"268","T29","Generate","fluent",0.7
"269","T3","Generate","disfluent",0.666666666666667
"270","T3","Generate","fluent",0.6
"271","T30","Generate","disfluent",0.5
"272","T30","Generate","fluent",0.5
"273","T31","Generate","disfluent",0
"274","T31","Generate","fluent",0
"275","T32","Generate","disfluent",0
"276","T32","Generate","fluent",0
"277","T33","Generate","disfluent",0.5
"278","T33","Generate","fluent",0.7
"279","T34","Generate","disfluent",0.416666666666667
"280","T34","Generate","fluent",0
"281","T35","Generate","disfluent",0.333333333333333
"282","T35","Generate","fluent",0.2
"283","T36","Generate","disfluent",0.666666666666667
"284","T36","Generate","fluent",0.9
"285","T37","Generate","disfluent",0.25
"286","T37","Generate","fluent",0
"287","T38","Generate","disfluent",0.75
"288","T38","Generate","fluent",0.8
"289","T39","Generate","disfluent",0.583333333333333
"290","T39","Generate","fluent",0.2
"291","T4","Generate","disfluent",0.583333333333333
"292","T4","Generate","fluent",0.5
"293","T40","Generate","disfluent",0.333333333333333
"294","T40","Generate","fluent",0.3
"295","T41","Generate","disfluent",0.166666666666667
"296","T41","Generate","fluent",0.3
"297","T42","Generate","disfluent",0.833333333333333
"298","T42","Generate","fluent",0.8
"299","T43","Generate","disfluent",0.0833333333333333
"300","T43","Generate","fluent",0.2
"301","T44","Generate","disfluent",0.333333333333333
"302","T44","Generate","fluent",0.5
"303","T45","Generate","disfluent",0
"304","T45","Generate","fluent",0
"305","T46","Generate","disfluent",0.583333333333333
"306","T46","Generate","fluent",0.6
"307","T47","Generate","disfluent",0.166666666666667
"308","T47","Generate","fluent",0.1
"309","T48","Generate","disfluent",0.166666666666667
"310","T48","Generate","fluent",0
"311","T49","Generate","disfluent",0.583333333333333
"312","T49","Generate","fluent",0.4
"313","T5","Generate","disfluent",0.333333333333333
"314","T5","Generate","fluent",0.3
"315","T50","Generate","disfluent",0.333333333333333
"316","T50","Generate","fluent",0.7
"317","T51","Generate","disfluent",0
"318","T51","Generate","fluent",0
"319","T52","Generate","disfluent",0.25
"320","T52","Generate","fluent",0.4
"321","T54","Generate","disfluent",0.666666666666667
"322","T54","Generate","fluent",0
"323","T55","Generate","disfluent",0.583333333333333
"324","T55","Generate","fluent",0.5
"325","T56","Generate","disfluent",0.333333333333333
"326","T56","Generate","fluent",0.2
"327","T57","Generate","disfluent",0.0833333333333333
"328","T57","Generate","fluent",0
"329","T58","Generate","disfluent",0.666666666666667
"330","T58","Generate","fluent",0.5
"331","T59","Generate","disfluent",0.666666666666667
"332","T59","Generate","fluent",0.3
"333","T6","Generate","disfluent",0.833333333333333
"334","T6","Generate","fluent",0.5
"335","T60","Generate","disfluent",0.75
"336","T60","Generate","fluent",0.8
"337","T61","Generate","disfluent",0.416666666666667
"338","T61","Generate","fluent",0.3
"339","T62","Generate","disfluent",0.5
"340","T62","Generate","fluent",0.3
"341","T63","Generate","disfluent",0.0833333333333333
"342","T63","Generate","fluent",0.3
"343","T7","Generate","disfluent",0.416666666666667
"344","T7","Generate","fluent",0.2
"345","T8","Generate","disfluent",0.416666666666667
"346","T8","Generate","fluent",0.3
"347","T9","Generate","disfluent",0.416666666666667
"348","T9","Generate","fluent",0.4
"349","W10","Sans Forgetica","disfluent",0.1
"350","W10","Sans Forgetica","fluent",0
"351","W11","Sans Forgetica","disfluent",0.5
"352","W11","Sans Forgetica","fluent",0.25
"353","W12","Sans Forgetica","disfluent",0.6
"354","W12","Sans Forgetica","fluent",0.333333333333333
"355","W13","Sans Forgetica","disfluent",0.8
"356","W13","Sans Forgetica","fluent",0.916666666666667
"357","W14","Sans Forgetica","disfluent",0.4
"358","W14","Sans Forgetica","fluent",0.5
"359","W15","Sans Forgetica","disfluent",0.1
"360","W15","Sans Forgetica","fluent",0.166666666666667
"361","W16","Sans Forgetica","disfluent",0.4
"362","W16","Sans Forgetica","fluent",0.416666666666667
"363","W17","Sans Forgetica","disfluent",0.3
"364","W17","Sans Forgetica","fluent",0.166666666666667
"365","W18","Sans Forgetica","disfluent",0.5
"366","W18","Sans Forgetica","fluent",0.833333333333333
"367","W19","Sans Forgetica","disfluent",0.3
"368","W19","Sans Forgetica","fluent",0
"369","W2","Sans Forgetica","disfluent",0.3
"370","W2","Sans Forgetica","fluent",0.25
"371","W20","Sans Forgetica","disfluent",0.1
"372","W20","Sans Forgetica","fluent",0.0833333333333333
"373","W21","Sans Forgetica","disfluent",0.4
"374","W21","Sans Forgetica","fluent",0.5
"375","W22","Sans Forgetica","disfluent",0.1
"376","W22","Sans Forgetica","fluent",0
"377","W23","Sans Forgetica","disfluent",0.2
"378","W23","Sans Forgetica","fluent",0
"379","W24","Sans Forgetica","disfluent",0.3
"380","W24","Sans Forgetica","fluent",0.0833333333333333
"381","W25","Sans Forgetica","disfluent",0.4
"382","W25","Sans Forgetica","fluent",0.166666666666667
"383","W26","Sans Forgetica","disfluent",0
"384","W26","Sans Forgetica","fluent",0
"385","W27","Sans Forgetica","disfluent",0.1
"386","W27","Sans Forgetica","fluent",0.0833333333333333
"387","W28","Sans Forgetica","disfluent",0.6
"388","W28","Sans Forgetica","fluent",0.25
"389","W29","Sans Forgetica","disfluent",0.3
"390","W29","Sans Forgetica","fluent",0.25
"391","W3","Sans Forgetica","disfluent",0.5
"392","W3","Sans Forgetica","fluent",0.416666666666667
"393","W30","Sans Forgetica","disfluent",0.2
"394","W30","Sans Forgetica","fluent",0.25
"395","W31","Sans Forgetica","disfluent",0.7
"396","W31","Sans Forgetica","fluent",0.583333333333333
"397","W32","Sans Forgetica","disfluent",0.2
"398","W32","Sans Forgetica","fluent",0.333333333333333
"399","W33","Sans Forgetica","disfluent",0.5
"400","W33","Sans Forgetica","fluent",0.583333333333333
"401","W34","Sans Forgetica","disfluent",0.8
"402","W34","Sans Forgetica","fluent",0.583333333333333
"403","W35","Sans Forgetica","disfluent",0.3
"404","W35","Sans Forgetica","fluent",0.416666666666667
"405","W36","Sans Forgetica","disfluent",0.5
"406","W36","Sans Forgetica","fluent",0.166666666666667
"407","W37","Sans Forgetica","disfluent",0.8
"408","W37","Sans Forgetica","fluent",0.583333333333333
"409","W38","Sans Forgetica","disfluent",0.5
"410","W38","Sans Forgetica","fluent",0.416666666666667
"411","W39","Sans Forgetica","disfluent",0.5
"412","W39","Sans Forgetica","fluent",0.0833333333333333
"413","W4","Sans Forgetica","disfluent",0.7
"414","W4","Sans Forgetica","fluent",0.416666666666667
"415","W40","Sans Forgetica","disfluent",0.3
"416","W40","Sans Forgetica","fluent",0.333333333333333
"417","W41","Sans Forgetica","disfluent",0.1
"418","W41","Sans Forgetica","fluent",0.166666666666667
"419","W42","Sans Forgetica","disfluent",0.3
"420","W42","Sans Forgetica","fluent",0.666666666666667
"421","W43","Sans Forgetica","disfluent",0.3
"422","W43","Sans Forgetica","fluent",0.25
"423","W44","Sans Forgetica","disfluent",0.3
"424","W44","Sans Forgetica","fluent",0.0833333333333333
"425","W45","Sans Forgetica","disfluent",0.9
"426","W45","Sans Forgetica","fluent",0.916666666666667
"427","W46","Sans Forgetica","disfluent",0.2
"428","W46","Sans Forgetica","fluent",0.583333333333333
"429","W47","Sans Forgetica","disfluent",0.7
"430","W47","Sans Forgetica","fluent",0.5
"431","W48","Sans Forgetica","disfluent",0.5
"432","W48","Sans Forgetica","fluent",0.5
"433","W49","Sans Forgetica","disfluent",0.1
"434","W49","Sans Forgetica","fluent",0.166666666666667
"435","W5","Sans Forgetica","disfluent",0.4
"436","W5","Sans Forgetica","fluent",0.166666666666667
"437","W50","Sans Forgetica","disfluent",0.6
"438","W50","Sans Forgetica","fluent",0.333333333333333
"439","W51","Sans Forgetica","disfluent",0
"440","W51","Sans Forgetica","fluent",0.333333333333333
"441","W52","Sans Forgetica","disfluent",0.5
"442","W52","Sans Forgetica","fluent",0.583333333333333
"443","W53","Sans Forgetica","disfluent",0.4
"444","W53","Sans Forgetica","fluent",0.583333333333333
"445","W54","Sans Forgetica","disfluent",0.1
"446","W54","Sans Forgetica","fluent",0
"447","W55","Sans Forgetica","disfluent",0.1
"448","W55","Sans Forgetica","fluent",0.0833333333333333
"449","W56","Sans Forgetica","disfluent",0.3
"450","W56","Sans Forgetica","fluent",0.0833333333333333
"451","W57","Sans Forgetica","disfluent",0.7
"452","W57","Sans Forgetica","fluent",0.916666666666667
"453","W58","Sans Forgetica","disfluent",0.3
"454","W58","Sans Forgetica","fluent",0.0833333333333333
