"","cue","target","cond","ResponseID","Finished","Progress","question","condition","dis","token","acc"
"177","child","mother","flu","E19",TRUE,100,"Q437","Generate","fluent","mother",1
"178","child","mother","flu","E40",TRUE,100,"Q437","Generate","fluent","mother",1
"179","child","mother","flu","E35",TRUE,100,"Q437","Generate","fluent","mother",1
"180","child","mother","flu","E8",TRUE,100,"Q437","Generate","fluent","mother",1
"181","child","mother","flu","E4",TRUE,100,"Q437","Generate","fluent","mother",1
"182","child","mother","flu","E38",TRUE,100,"Q437","Generate","fluent","mother",1
"183","child","mother","flu","E31",TRUE,100,"Q437","Generate","fluent","parent",0
"184","child","mother","flu","E15",TRUE,100,"Q437","Generate","fluent","mother",1
"185","child","mother","flu","E42",TRUE,100,"Q437","Generate","fluent","mother",1
"186","child","mother","flu","E59",TRUE,100,"Q437","Generate","fluent","adult",0
"187","child","mother","flu","E5",TRUE,100,"Q437","Generate","fluent","mother",1
"188","child","mother","flu","E27",TRUE,100,"Q437","Generate","fluent","mother",1
"189","child","mother","flu","E6",TRUE,100,"Q437","Generate","fluent","0",0
"190","child","mother","flu","E45",TRUE,100,"Q437","Generate","fluent","parent",0
"191","child","mother","flu","E14",TRUE,100,"Q437","Generate","fluent","0",0
"192","child","mother","flu","E25",TRUE,100,"Q437","Generate","fluent","baby",0
"193","child","mother","flu","E53",TRUE,100,"Q437","Generate","fluent","0",0
"194","child","mother","flu","E16",TRUE,100,"Q437","Generate","fluent","care",0
"195","child","mother","flu","E33",TRUE,100,"Q437","Generate","fluent","0",0
"196","child","mother","flu","E20",TRUE,100,"Q437","Generate","fluent","mother",1
"197","child","mother","flu","E12",TRUE,100,"Q437","Generate","fluent","adult",0
"198","child","mother","flu","E7",TRUE,100,"Q437","Generate","fluent","mother",1
"199","child","mother","flu","E54",TRUE,100,"Q437","Generate","fluent","adult",0
"200","child","mother","flu","E37",TRUE,100,"Q437","Generate","fluent","mother",1
"201","child","mother","flu","E18",TRUE,100,"Q437","Generate","fluent","mother",1
"202","child","mother","flu","E43",TRUE,100,"Q437","Generate","fluent","school",0
"203","child","mother","flu","E34",TRUE,100,"Q437","Generate","fluent","young",0
"204","child","mother","flu","E41",TRUE,100,"Q437","Generate","fluent","play",0
"205","child","mother","flu","E17",TRUE,100,"Q437","Generate","fluent","parent",0
"206","child","mother","flu","E55",TRUE,100,"Q437","Generate","fluent","mother",1
"207","child","mother","flu","E56",TRUE,100,"Q437","Generate","fluent","mother",1
"208","child","mother","flu","E22",TRUE,100,"Q437","Generate","fluent","mother",1
"209","child","mother","flu","E51",TRUE,100,"Q437","Generate","fluent","parent",0
"210","child","mother","flu","E26",TRUE,100,"Q437","Generate","fluent","mother",1
"211","child","mother","flu","E36",TRUE,100,"Q437","Generate","fluent","parent",0
"212","child","mother","flu","E3",TRUE,100,"Q437","Generate","fluent","kid",0
"213","child","mother","flu","E58",TRUE,100,"Q437","Generate","fluent","birth",0
"214","child","mother","flu","E10",TRUE,100,"Q437","Generate","fluent","mother",1
"215","child","mother","flu","E57",TRUE,100,"Q437","Generate","fluent","mother",1
"216","child","mother","flu","E11",TRUE,100,"Q437","Generate","fluent","0",0
"217","child","mother","flu","E50",TRUE,100,"Q437","Generate","fluent","0",0
"218","child","mother","flu","E21",TRUE,100,"Q437","Generate","fluent","0",0
"219","child","mother","flu","E30",TRUE,100,"Q437","Generate","fluent","mother",1
"220","child","mother","flu","E28",TRUE,100,"Q437","Generate","fluent","mother",1
"221","child","mother","flu","E44",TRUE,100,"Q437","Generate","fluent","mother",1
"222","child","mother","flu","E48",TRUE,100,"Q437","Generate","fluent","mother",1
"223","child","mother","flu","E39",TRUE,100,"Q437","Generate","fluent","parent",0
"224","child","mother","flu","E9",TRUE,100,"Q437","Generate","fluent","kid",0
"225","child","mother","flu","E47",TRUE,100,"Q437","Generate","fluent","care",0
"226","child","mother","flu","E13",TRUE,100,"Q437","Generate","fluent","kid",0
"227","child","mother","flu","E46",TRUE,100,"Q437","Generate","fluent","mother",1
"228","child","mother","flu","E32",TRUE,100,"Q437","Generate","fluent","mother",1
"229","child","mother","flu","E23",TRUE,100,"Q437","Generate","fluent","mother",1
"230","child","mother","flu","E49",TRUE,100,"Q437","Generate","fluent","0",0
"231","child","mother","flu","E2",TRUE,100,"Q437","Generate","fluent","0",0
"232","child","mother","flu","E24",FALSE,99,"Q437","Generate","fluent","person",0
"233","factory","product","flu","E52",TRUE,100,"Q438","Generate","fluent","machine",0
"234","factory","product","flu","E29",TRUE,100,"Q438","Generate","fluent","product",1
"235","factory","product","flu","E19",TRUE,100,"Q438","Generate","fluent","building",0
"236","factory","product","flu","E40",TRUE,100,"Q438","Generate","fluent","place",0
"237","factory","product","flu","E35",TRUE,100,"Q438","Generate","fluent","worker",0
"238","factory","product","flu","E8",TRUE,100,"Q438","Generate","fluent","worker",0
"239","factory","product","flu","E4",TRUE,100,"Q438","Generate","fluent","products",0
"240","factory","product","flu","E38",TRUE,100,"Q438","Generate","fluent","product",1
